transaction_id,transaction_type,merchant_category,device_type,network_type,hour_of_day,day_of_week,is_weekend
TXN0000000042,P2M,Shopping,Android,4G,12,Tuesday,0
TXN0000000118,Bill Payment,Fuel,Android,4G,9,Thursday,0
TXN0000000120,P2P,Shopping,Android,5G,11,Friday,0
TXN0000000257,P2M,Healthcare,Android,4G,9,Monday,0
TXN0000000716,P2P,Shopping,Android,4G,11,Monday,0
TXN0000000791,P2P,Utilities,Android,4G,11,Sunday,1
TXN0000000796,Bill Payment,Transport,iOS,4G,8,Sunday,1
TXN0000001055,Bill Payment,Grocery,Android,4G,17,Monday,0
TXN0000001117,P2P,Shopping,Android,WiFi,0,Thursday,0
TXN0000001186,P2P,Entertainment,Android,5G,9,Friday,0
TXN0000001190,P2M,Food,Android,4G,8,Saturday,1
TXN0000001198,P2P,Food,Android,4G,7,Sunday,1
TXN0000001399,Recharge,Food,Android,WiFi,21,Sunday,1
TXN0000001500,Recharge,Food,iOS,5G,10,Wednesday,0
TXN0000001544,P2P,Fuel,Web,5G,11,Wednesday,0
TXN0000001636,P2M,Food,Android,4G,12,Saturday,1
TXN0000002194,P2M,Grocery,Android,5G,21,Sunday,1
TXN0000002681,Bill Payment,Grocery,Android,WiFi,20,Friday,0
TXN0000003492,P2M,Fuel,Android,WiFi,22,Wednesday,0
TXN0000003670,P2P,Other,Android,5G,19,Tuesday,0
TXN0000003695,P2P,Grocery,Android,5G,13,Wednesday,0
TXN0000003738,P2P,Entertainment,Android,5G,11,Friday,0
TXN0000003916,P2P,Shopping,iOS,4G,23,Sunday,1
TXN0000003955,P2P,Shopping,Android,4G,5,Monday,0
TXN0000003964,P2M,Utilities,iOS,3G,17,Thursday,0
TXN0000004083,P2P,Grocery,Android,4G,22,Saturday,1
TXN0000004096,P2M,Food,Android,WiFi,17,Tuesday,0
TXN0000004362,Bill Payment,Healthcare,Android,4G,12,Wednesday,0
TXN0000004363,P2M,Utilities,Android,4G,19,Friday,0
TXN0000004511,P2P,Shopping,Android,4G,13,Monday,0
TXN0000004885,P2P,Shopping,Android,5G,10,Friday,0
TXN0000005091,Bill Payment,Shopping,Android,WiFi,19,Wednesday,0
TXN0000005298,P2M,Food,Android,4G,10,Monday,0
TXN0000005315,Bill Payment,Grocery,iOS,4G,8,Saturday,1
TXN0000005318,P2P,Food,Android,4G,13,Tuesday,0
TXN0000005568,P2P,Shopping,Android,5G,20,Sunday,1
TXN0000005800,Bill Payment,Shopping,Android,5G,16,Sunday,1
TXN0000005811,P2M,Food,iOS,5G,7,Wednesday,0
TXN0000005903,P2M,Shopping,Android,4G,8,Monday,0
TXN0000006001,P2M,Entertainment,iOS,4G,21,Friday,0
TXN0000006125,P2M,Grocery,iOS,5G,18,Tuesday,0
TXN0000006249,P2P,Transport,Android,5G,21,Sunday,1
TXN0000006275,P2M,Entertainment,Android,4G,17,Wednesday,0
