transaction_id,timestamp,amount,transaction_status,fraud_flag,user_id,receiver_id
TXN0000038684,2024-05-12 15:12:19,988,SUCCESS,0,20,17
TXN0000064940,2024-01-23 11:35:10,57,SUCCESS,0,43,27
TXN0000003955,2024-07-15 05:05:01,5872,FAILED,0,42,4
TXN0000120375,2024-12-26 16:42:44,134,SUCCESS,0,203,25
TXN0000172862,2024-08-25 12:19:28,325,SUCCESS,0,158,16
TXN0000149304,2024-02-12 15:16:16,2613,SUCCESS,0,223,16
TXN0000111627,2024-12-27 16:19:22,2128,SUCCESS,0,175,2
TXN0000164554,2024-04-27 21:44:34,162,SUCCESS,0,193,4
TXN0000055780,2024-03-03 09:43:46,830,SUCCESS,0,2,7
TXN0000141991,2024-02-23 13:13:22,974,SUCCESS,0,278,17
TXN0000176729,2024-04-23 22:50:26,477,SUCCESS,0,10,16
TXN0000022050,2024-01-10 20:46:47,6280,SUCCESS,0,131,21
TXN0000077432,2024-04-28 03:56:22,223,SUCCESS,0,96,11
TXN0000111500,2024-03-31 19:42:15,3517,SUCCESS,0,62,17
TXN0000228765,2024-08-24 17:25:00,2841,SUCCESS,0,275,7
TXN0000029676,2024-09-29 19:41:33,260,SUCCESS,0,30,10
TXN0000036727,2024-07-15 22:41:52,485,SUCCESS,0,42,22
TXN0000075960,2024-08-05 17:09:21,5185,SUCCESS,0,9,27
TXN0000247466,2024-10-17 14:25:16,52,SUCCESS,0,73,8
TXN0000128857,2024-06-10 14:48:08,8106,SUCCESS,0,184,2
TXN0000034525,2024-10-02 13:54:27,334,SUCCESS,0,102,36
TXN0000114952,2024-10-03 19:26:03,204,SUCCESS,1,82,16
TXN0000101079,2024-12-18 18:11:43,1288,SUCCESS,0,153,4
TXN0000209307,2024-08-24 13:44:04,480,SUCCESS,0,95,1
TXN0000123692,2024-12-14 11:29:59,1920,SUCCESS,0,139,20
TXN0000120450,2024-12-08 12:16:38,2781,SUCCESS,0,275,28
TXN0000098056,2024-04-23 19:56:13,955,SUCCESS,0,282,2
TXN0000198905,2024-07-27 14:25:35,244,SUCCESS,0,15,25
TXN0000113369,2024-01-19 15:13:37,956,FAILED,0,132,16
TXN0000015502,2024-07-26 20:54:38,586,SUCCESS,0,21,31
TXN0000180180,2024-12-04 17:59:04,1050,SUCCESS,0,327,36
TXN0000111014,2024-07-30 15:49:17,296,SUCCESS,0,306,1
TXN0000208705,2024-11-22 11:36:16,100,SUCCESS,0,87,17
TXN0000138105,2024-02-18 14:20:03,596,SUCCESS,0,335,4
TXN0000155477,2024-03-30 12:30:47,4730,SUCCESS,0,12,10
TXN0000060728,2024-02-08 16:19:32,518,SUCCESS,0,121,37
TXN0000175430,2024-12-23 13:49:38,1538,SUCCESS,0,253,38
TXN0000024992,2024-03-19 19:42:43,1638,SUCCESS,0,10,4
TXN0000121662,2024-08-23 18:26:24,1738,SUCCESS,0,383,25
